TUCSON,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
HMF Special Lease -- (Select code H202),,,,,,,,,,,,
,MY 2025,,,24 Month Lease,,,,,,,,
,Model#,Model Description,Lease Cash,"Tier 1
(740-999)","Tier 2
(720-739)","Tier 3
(700-719)","Tier 4
(680-699)","Tier 5
(660-679)","Tier 6
(640-659)","Tier 7
(620-639)","Tier 8
(580-619)",Residual
,85402A4S,4dr Wgn SE,3250,0.00213,0.00213,0.00226,0.00239,0.00252,0.00266,0.00287,-,0.61
,85402F4S,4dr Wgn SE,3250,0.00209,0.00209,0.00222,0.00235,0.00248,0.00262,0.00283,-,0.6
,85432A4S,4dr Wgn SEL,2750,0.00225,0.00225,0.00238,0.00251,0.00264,0.00278,0.00299,-,0.63
,85432F4S,4dr Wgn SEL,3000,0.00222,0.00222,0.00235,0.00248,0.00261,0.00275,0.00296,-,0.62
,85442A4S,4dr Wgn XRT,0,0.0002,0.0002,0.00033,0.00046,0.00059,0.00073,0.00094,-,0.64
,85442F4S,4dr Wgn XRT,500,0.00013,0.00013,0.00026,0.00039,0.00052,0.00066,0.00087,-,0.62
,85462A4S,4dr Wgn SEL Convenience,2750,0.00227,0.00227,0.0024,0.00253,0.00266,0.0028,0.00301,-,0.65
,85462F4S,4dr Wgn SEL Convenience,2500,0.00214,0.00214,0.00227,0.0024,0.00253,0.00267,0.00288,-,0.64
,85472A4S,4dr Wgn Limited,0,0.0002,0.0002,0.00033,0.00046,0.00059,0.00073,0.00094,-,0.64
,85472F4S,4dr Wgn Limited,3250,0.00228,0.00228,0.00267,0.0028,0.00293,0.00307,0.00328,-,0.63
HMF Special Lease -- (Select code H202),,,,,,,,,,,,
,MY 2025,,,36 Month Lease,,,,,,,,
,Model#,Model Description,Lease Cash,"Tier 1
(740-999)","Tier 2
(720-739)","Tier 3
(700-719)","Tier 4
(680-699)","Tier 5
(660-679)","Tier 6
(640-659)","Tier 7
(620-639)","Tier 8
(580-619)",Residual
,85402A4S,4dr Wgn SE,2500,0.00243,0.00243,0.00261,0.00274,0.00292,0.00306,0.00311,0.0037,0.61
,85402F4S,4dr Wgn SE,3000,0.0025,0.0025,0.00268,0.00281,0.00299,0.00313,0.00318,0.0037,0.59
,85432A4S,4dr Wgn SEL,3250,0.00253,0.00253,0.00308,0.00321,0.00339,0.00353,0.00358,0.0037,0.61
,85432F4S,4dr Wgn SEL,3250,0.00243,0.00243,0.00261,0.00274,0.00292,0.00306,0.00311,0.0037,0.6
,85442A4S,4dr Wgn XRT,2500,0.00251,0.00251,0.00269,0.00282,0.003,0.00314,0.00319,0.0037,0.61
,85442F4S,4dr Wgn XRT,3250,0.00253,0.00253,0.00308,0.00321,0.00339,0.00353,0.00358,0.0037,0.58
,85462A4S,4dr Wgn SEL Convenience,2000,0.0024,0.0024,0.00258,0.00271,0.00289,0.00303,0.00308,0.0037,0.62
,85462F4S,4dr Wgn SEL Convenience,2250,0.00245,0.00245,0.00263,0.00276,0.00294,0.00308,0.00313,0.0037,0.61
,85472A4S,4dr Wgn Limited,2750,0.00253,0.00253,0.00308,0.00321,0.00339,0.00353,0.00358,0.0037,0.61
,85472F4S,4dr Wgn Limited,2750,0.00246,0.00246,0.00264,0.00277,0.00295,0.00309,0.00314,0.0037,0.6
HMF Special Lease -- (Select code H202),,,,,,,,,,,,
,MY 2025,,,39 Month Lease,,,,,,,,
,Model#,Model Description,Lease Cash,"Tier 1
(740-999)","Tier 2
(720-739)","Tier 3
(700-719)","Tier 4
(680-699)","Tier 5
(660-679)","Tier 6
(640-659)","Tier 7
(620-639)","Tier 8
(580-619)",Residual
,85402A4S,4dr Wgn SE,3000,0.00241,0.00241,0.00259,0.00272,0.0029,0.00304,0.00309,-,0.57
,85402F4S,4dr Wgn SE,3250,0.00248,0.00248,0.00266,0.00279,0.00297,0.00311,0.00316,-,0.56
,85432A4S,4dr Wgn SEL,3500,0.00254,0.00254,0.00272,0.00285,0.00303,0.00317,0.00322,-,0.57
,85432F4S,4dr Wgn SEL,3250,0.00245,0.00245,0.00263,0.00276,0.00294,0.00308,0.00313,-,0.57
,85442A4S,4dr Wgn XRT,4000,0.00253,0.00253,0.00308,0.00321,0.00339,0.00353,0.00358,-,0.55
,85442F4S,4dr Wgn XRT,3500,0.00248,0.00248,0.00266,0.00279,0.00297,0.00311,0.00316,-,0.56
,85462A4S,4dr Wgn SEL Convenience,2750,0.00249,0.00249,0.00267,0.0028,0.00298,0.00312,0.00317,-,0.59
,85462F4S,4dr Wgn SEL Convenience,3000,0.00252,0.00252,0.0027,0.00283,0.00301,0.00315,0.0032,-,0.58
,85472A4S,4dr Wgn Limited,4000,0.00253,0.00253,0.00308,0.00321,0.00339,0.00353,0.00358,-,0.56
,85472F4S,4dr Wgn Limited,3500,0.00251,0.00251,0.00269,0.00282,0.003,0.00314,0.00319,-,0.57
HMF Special Lease -- (Select code H202),,,,,,,,,,,,
,MY 2025,,,48 Month Lease,,,,,,,,
,Model#,Model Description,Lease Cash,"Tier 1
(740-999)","Tier 2
(720-739)","Tier 3
(700-719)","Tier 4
(680-699)","Tier 5
(660-679)","Tier 6
(640-659)","Tier 7
(620-639)","Tier 8
(580-619)",Residual
,85402A4S,4dr Wgn SE,3000,0.00291,0.00291,0.00311,0.00328,0.00354,0.00368,0.00382,0.00435,0.51
,85402F4S,4dr Wgn SE,2750,0.00295,0.00295,0.00349,0.00366,0.00392,0.00406,0.0042,0.00435,0.52
,85432A4S,4dr Wgn SEL,3000,0.00287,0.00287,0.00307,0.00324,0.0035,0.00364,0.00378,0.00435,0.52
,85432F4S,4dr Wgn SEL,3250,0.00292,0.00292,0.00312,0.00329,0.00355,0.00369,0.00383,0.00435,0.51
,85442A4S,4dr Wgn XRT,3500,0.00286,0.00286,0.00306,0.00323,0.00349,0.00363,0.00377,0.00435,0.51
,85442F4S,4dr Wgn XRT,3750,0.00291,0.00291,0.00311,0.00328,0.00354,0.00368,0.00382,0.00435,0.5
,85462A4S,4dr Wgn SEL Convenience,3000,0.00288,0.00288,0.00308,0.00325,0.00351,0.00365,0.00379,0.00435,0.53
,85462F4S,4dr Wgn SEL Convenience,3250,0.00292,0.00292,0.00312,0.00329,0.00355,0.00369,0.00383,0.00435,0.52
,85472A4S,4dr Wgn Limited,2750,0.00292,0.00292,0.00312,0.00329,0.00355,0.00369,0.00383,0.00435,0.53
,85472F4S,4dr Wgn Limited,2250,0.00295,0.00295,0.00349,0.00366,0.00392,0.00406,0.0042,0.00435,0.56
,,,,,,,,,,,,
"*Please refer to HMF Program guidelines for Dealer Flat and Reserve payout structure. Premier = $150, VIP = $150, and Partner = $100",,,,,,,,,,,,
